EmployeeID,Country,Age,Gender,MaritalStatus,Department,JobRole,MonthlyIncome,JobSatisfaction,WorkLifeBalance,RemoteWorkDays,OvertimeHours,VacationWeeks,TrainingHoursLastYear,PromotionLastYear,BurnoutRisk,DistanceFromHome,EnvironmentSatisfaction,JobInvolvement,JobLevel,PerformanceRating,RelationshipSatisfaction,YearsInCurrentRole,YearsSinceLastPromotion,YearsAtCompany
EMP1062,Norway,41,Female,Single,IT,Financial Analyst,47733,5,4,0,6,7,25,0,Low,29,4,3,2,3,4,3,9,5
EMP1063,Denmark,44,Female,Divorced,Engineering,Data Analyst,57936,4,4,2,3,8,28,0,Low,7,2,2,5,3,4,3,13,8
EMP1064,Norway,42,Female,Single,Operations,Sales Executive,69600,2,5,2,3,6,71,0,Low,25,1,3,3,3,4,16,7,0
EMP1065,Norway,36,Female,Divorced,HR,Software Engineer,71141,2,4,4,2,7,43,0,Low,8,3,3,3,3,2,14,12,11
EMP1066,Sweden,36,Other,Divorced,Finance,HR Manager,47657,5,3,2,3,7,4,0,Low,8,4,3,4,3,3,0,0,1
EMP1067,Norway,38,Female,Single,Operations,Operations Manager,58465,4,4,2,1,6,32,0,High,11,2,2,2,3,3,5,0,1
EMP1068,Denmark,36,Male,Divorced,HR,Operations Manager,77156,5,4,5,4,7,4,1,Low,7,2,3,3,3,3,0,0,0
EMP1069,Norway,47,Female,Married,HR,Financial Analyst,47981,5,1,2,3,7,35,0,Medium,1,2,3,1,3,4,2,1,16
EMP1070,Finland,60,Male,Married,Finance,Financial Analyst,45258,5,3,2,1,6,76,0,High,9,4,2,1,3,1,0,0,9
EMP1071,Denmark,32,Male,Single,Operations,Software Engineer,66916,5,3,2,1,5,12,0,Low,1,1,2,2,3,4,3,1,12
EMP1072,Norway,24,Female,Married,Sales,Sales Executive,64284,4,3,4,1,8,24,0,Medium,2,3,3,1,4,4,4,0,9
EMP1073,Norway,37,Female,Single,Engineering,Data Analyst,42445,3,4,2,0,7,57,0,Medium,1,3,3,1,3,2,1,1,3
EMP1074,Denmark,63,Female,Married,Engineering,Marketing Specialist,34008,5,5,2,2,6,1,0,Low,1,2,3,2,3,2,4,0,12
EMP1075,Denmark,29,Male,Married,Finance,Sales Executive,58173,4,4,3,3,6,35,0,Low,6,2,4,1,3,2,0,0,17
EMP1076,Denmark,54,Female,Single,HR,Sales Executive,48721,2,4,0,2,7,24,0,Low,8,3,3,2,4,4,7,1,3
EMP1077,Denmark,54,Male,Single,Engineering,Sales Executive,30000,4,4,4,3,6,33,0,Low,1,3,2,2,3,2,13,2,0
EMP1078,Norway,32,Other,Married,Finance,Marketing Specialist,44691,4,4,2,3,5,11,0,Low,6,4,3,3,3,2,0,0,5
EMP1079,Norway,43,Other,Single,Engineering,Software Engineer,64039,5,1,2,6,7,18,1,Low,7,1,3,3,3,1,2,0,18
EMP1080,Norway,54,Female,Divorced,Operations,Marketing Specialist,52728,4,4,3,2,7,36,0,Low,5,2,3,2,4,4,2,0,10
EMP1081,Denmark,34,Female,Married,Sales,Software Engineer,78491,3,4,1,3,6,0,0,Low,1,4,2,2,3,3,8,3,9
EMP1082,Sweden,35,Female,Single,Engineering,Marketing Specialist,30000,5,3,4,4,5,59,0,Low,1,2,2,1,3,1,4,0,13
EMP1083,Norway,32,Female,Married,Engineering,Data Analyst,75069,5,4,5,2,6,66,0,Low,1,1,3,3,3,4,0,1,11
EMP1084,Norway,27,Male,Divorced,Engineering,Sales Executive,49841,4,4,2,4,6,48,0,Low,6,2,1,2,3,4,11,1,7
EMP1085,Norway,31,Male,Married,Finance,Software Engineer,47673,3,4,5,8,6,78,0,Low,1,1,3,2,3,3,2,1,6
EMP1086,Norway,25,Female,Single,IT,Marketing Specialist,31732,3,3,0,1,6,45,0,High,7,4,1,3,3,1,4,0,1
EMP1087,Denmark,38,Female,Divorced,HR,Data Analyst,61976,4,4,4,3,6,47,0,Low,2,3,3,1,3,3,0,0,4
EMP1088,Sweden,30,Male,Married,Sales,Marketing Specialist,30000,2,4,2,3,6,67,0,Low,9,4,3,1,4,2,2,0,3
EMP1089,Denmark,40,Female,Married,HR,Operations Manager,67268,3,3,2,1,8,18,0,Low,2,3,2,2,3,1,10,10,9
EMP1090,Sweden,22,Male,Single,Engineering,Data Analyst,32299,4,3,1,1,6,39,0,Low,9,3,2,3,3,4,8,4,3
EMP1091,Norway,41,Female,Married,Finance,Sales Executive,34664,4,4,2,2,6,5,0,Low,1,3,2,4,4,4,3,11,0
EMP1092,Denmark,46,Female,Single,Sales,HR Manager,37131,4,3,1,6,6,79,1,Medium,21,3,3,2,4,4,7,1,0
EMP1093,Denmark,20,Female,Divorced,IT,Sales Executive,44260,3,4,5,2,6,62,0,Low,4,3,2,2,3,2,8,2,5
EMP1094,Sweden,41,Female,Married,Engineering,HR Manager,69131,4,4,4,3,7,34,1,Low,1,3,2,3,3,3,9,9,3
EMP1095,Denmark,50,Male,Single,Sales,Data Analyst,77559,4,2,1,4,6,71,0,Medium,6,2,3,2,3,1,8,5,2
EMP1096,Sweden,25,Male,Married,IT,Operations Manager,45811,3,2,1,3,7,60,1,Medium,2,1,3,3,3,1,3,0,0
EMP1097,Sweden,54,Female,Married,Finance,Operations Manager,54301,1,4,4,2,6,4,0,Low,3,1,3,2,4,1,2,0,3
EMP1098,Sweden,42,Female,Married,Engineering,Software Engineer,62348,4,3,2,4,7,36,0,Medium,4,2,3,2,3,2,4,0,0
EMP1099,Norway,30,Male,Single,HR,Operations Manager,50060,5,2,1,3,6,75,0,Medium,10,4,3,4,3,3,10,1,2
EMP1100,Norway,37,Female,Married,IT,Financial Analyst,61761,4,4,2,4,5,10,0,Low,23,2,3,2,3,3,2,1,2
EMP1101,Norway,43,Male,Divorced,Operations,Data Analyst,54938,2,4,2,6,6,39,0,Low,6,3,3,1,4,4,2,0,3
EMP1102,Sweden,38,Female,Single,Engineering,Software Engineer,51198,3,4,1,4,6,64,0,Low,1,4,3,1,3,4,0,0,3
EMP1103,Norway,43,Female,Single,Operations,Operations Manager,33702,5,3,3,5,7,7,0,Medium,6,4,2,1,3,2,0,1,1
EMP1104,Sweden,28,Male,Single,HR,Data Analyst,57235,3,4,3,3,6,10,0,Low,6,1,3,2,3,3,13,2,9
EMP1105,Finland,39,Male,Divorced,HR,Sales Executive,69375,4,4,0,5,7,70,0,Low,2,3,2,2,3,4,0,0,2
EMP1106,Norway,23,Female,Married,Engineering,Operations Manager,43325,4,5,5,3,5,57,0,Low,2,3,2,5,4,4,2,2,1
EMP1107,Sweden,36,Female,Married,Sales,Marketing Specialist,30000,3,4,2,2,6,47,0,Low,1,1,3,5,3,1,3,0,0
EMP1108,Denmark,28,Female,Single,Engineering,HR Manager,50206,5,3,1,3,6,12,0,Medium,5,3,2,2,3,4,4,0,1
EMP1109,Norway,30,Female,Married,Finance,Data Analyst,77646,4,4,1,3,7,59,0,Low,7,4,2,1,3,3,2,2,0
EMP1110,Norway,50,Female,Single,HR,Software Engineer,73179,4,4,1,4,5,48,1,Low,15,2,3,1,3,3,0,0,0
EMP1111,Norway,48,Female,Single,IT,Sales Executive,46293,3,4,2,1,5,66,0,Low,1,1,2,3,4,3,12,12,4
EMP1112,Norway,44,Female,Single,IT,Financial Analyst,61832,2,5,1,3,6,6,0,Low,7,1,1,2,4,4,7,0,4
EMP1113,Finland,27,Male,Single,IT,Sales Executive,64203,4,4,2,5,7,76,0,Low,26,4,4,4,3,3,3,4,3
EMP1114,Denmark,34,Male,Married,IT,Operations Manager,77355,4,2,1,0,7,24,0,Low,18,2,3,1,3,3,3,1,7
EMP1115,Sweden,50,Male,Divorced,Operations,HR Manager,31741,3,4,3,1,5,22,0,Medium,6,3,2,2,3,3,0,0,0
EMP1116,Denmark,39,Female,Single,IT,Sales Executive,38967,2,1,3,1,6,50,0,Medium,3,3,3,3,3,1,3,1,13
EMP1117,Denmark,61,Male,Single,Sales,Financial Analyst,30000,2,4,2,2,6,46,0,Medium,5,3,2,3,3,4,10,5,0
EMP1118,Norway,41,Female,Married,Engineering,Marketing Specialist,44823,5,4,3,4,6,4,0,Medium,11,2,3,3,3,3,7,2,5
EMP1119,Denmark,39,Female,Divorced,Sales,Software Engineer,70994,4,4,5,1,7,12,0,Low,3,1,3,1,4,1,0,0,0
EMP1120,Sweden,34,Female,Married,IT,Data Analyst,46604,5,3,3,0,6,41,0,Low,26,3,3,4,3,4,12,4,10
EMP1121,Denmark,39,Male,Divorced,Engineering,HR Manager,35377,3,4,2,2,6,4,0,Low,23,1,1,1,4,3,7,0,3
EMP1122,Denmark,36,Male,Married,Sales,Financial Analyst,58399,5,4,2,8,7,22,1,Low,22,3,3,2,3,1,7,0,0
EMP1123,Norway,45,Male,Married,Engineering,Operations Manager,58785,2,4,4,3,6,61,0,Low,14,2,3,1,3,1,4,4,4
EMP1124,Norway,47,Male,Single,Engineering,Operations Manager,39744,4,3,1,4,6,0,1,Medium,6,1,3,5,3,3,18,15,0
EMP1125,Norway,30,Male,Married,Operations,Operations Manager,47409,5,4,2,4,6,73,0,Low,6,2,1,2,3,2,7,7,7
EMP1126,Sweden,24,Female,Married,Sales,HR Manager,57258,3,1,2,2,6,53,0,Low,6,3,2,1,3,3,4,4,5
EMP1127,Denmark,20,Female,Married,Finance,Sales Executive,66189,4,2,3,2,7,71,0,Low,23,4,3,3,3,4,10,15,1
EMP1128,Denmark,43,Female,Single,Sales,HR Manager,45266,2,3,3,2,7,2,0,Low,22,4,3,1,3,4,0,0,2
EMP1129,Norway,26,Female,Married,IT,Operations Manager,43105,2,3,2,3,6,63,0,Low,2,3,3,1,3,3,1,2,0
EMP1130,Sweden,20,Male,Married,Engineering,Marketing Specialist,83688,4,4,1,5,6,50,0,High,20,3,3,2,3,3,11,5,5
EMP1131,Sweden,41,Female,Single,IT,Financial Analyst,50889,4,5,5,1,6,1,0,Low,28,2,4,1,3,4,2,1,1
EMP1132,Norway,62,Female,Single,Finance,Data Analyst,58741,4,4,0,3,6,48,0,Medium,12,3,3,3,3,4,2,2,4
EMP1133,Norway,37,Male,Married,Engineering,Data Analyst,64725,4,2,0,0,8,30,0,Low,20,2,1,2,3,3,2,2,15
EMP1134,Norway,46,Female,Divorced,Sales,HR Manager,30000,4,4,2,4,6,73,0,Low,9,3,3,3,3,3,7,0,1
EMP1135,Finland,38,Male,Married,Finance,Operations Manager,54722,1,4,4,5,7,79,0,Low,25,3,3,1,4,4,7,5,23
EMP1136,Norway,37,Female,Divorced,HR,Software Engineer,30314,3,3,3,4,7,2,0,Medium,6,2,3,2,4,4,2,0,5
EMP1137,Sweden,47,Other,Single,Engineering,Marketing Specialist,53038,5,5,5,4,7,34,0,Low,8,1,1,3,3,4,2,0,1
EMP1138,Denmark,35,Male,Married,Finance,HR Manager,75596,2,4,1,2,7,35,1,Low,4,4,2,2,3,3,11,5,2
EMP1139,Norway,40,Female,Married,Engineering,Operations Manager,40022,4,5,2,2,7,63,0,Low,28,1,2,2,3,4,2,2,6
EMP1140,Finland,41,Female,Married,IT,Sales Executive,30003,3,4,1,3,7,31,1,Low,9,3,3,2,3,4,9,4,2
EMP1141,Finland,31,Female,Single,Engineering,Data Analyst,83315,4,4,4,4,7,17,0,Low,9,1,3,1,4,1,4,0,0
EMP1142,Norway,47,Male,Single,Engineering,Data Analyst,37794,4,3,2,4,6,33,0,Low,29,3,3,1,3,2,5,0,0
EMP1143,Sweden,36,Female,Single,IT,Marketing Specialist,32521,3,4,0,1,8,55,0,Low,3,4,3,2,4,2,2,2,7
EMP1144,Norway,30,Male,Single,HR,Data Analyst,79285,3,3,3,2,7,66,0,Low,18,1,3,1,3,3,4,0,5
EMP1145,Norway,43,Male,Divorced,IT,Software Engineer,37202,4,5,2,3,6,52,0,Low,9,4,1,2,3,4,7,0,4
EMP1146,Norway,29,Male,Divorced,Engineering,Operations Manager,79673,3,4,2,2,8,66,0,Low,5,4,3,1,3,4,2,2,0
EMP1147,Sweden,38,Female,Single,Sales,Operations Manager,59111,3,5,4,2,7,65,0,Medium,2,2,2,1,3,4,3,1,9
EMP1148,Sweden,37,Female,Divorced,Sales,Marketing Specialist,74259,4,4,1,3,7,63,0,Medium,10,4,2,4,3,2,6,7,16
EMP1149,Norway,48,Female,Married,IT,Operations Manager,57790,3,5,1,5,6,66,1,Low,9,3,3,1,4,4,0,1,0
EMP1150,Norway,42,Female,Single,IT,Marketing Specialist,71195,5,3,1,5,8,38,1,Medium,3,2,3,1,3,4,0,0,0
EMP1151,Finland,37,Male,Divorced,IT,Operations Manager,41223,4,4,2,0,7,37,0,Low,26,2,3,2,3,1,7,2,10
EMP1152,Norway,46,Male,Married,Finance,Software Engineer,45795,2,4,1,2,7,39,0,Low,1,3,3,3,3,1,8,0,8
EMP1153,Norway,51,Male,Married,Sales,Financial Analyst,30000,4,4,3,4,8,18,0,Low,6,2,3,2,4,4,7,4,4
EMP1154,Sweden,43,Male,Divorced,Engineering,HR Manager,69576,4,4,1,3,6,4,0,Low,9,2,3,2,3,3,9,0,14
EMP1155,Finland,38,Male,Single,Sales,HR Manager,61293,3,3,5,4,6,68,0,Low,8,2,3,3,3,4,8,3,5
EMP1156,Norway,24,Male,Married,HR,Operations Manager,39890,4,2,1,3,7,13,0,Low,1,4,3,2,3,1,7,0,1
EMP1157,Sweden,27,Male,Married,Operations,Sales Executive,30000,3,5,1,4,5,48,0,Low,7,2,2,2,3,3,0,0,6
EMP1158,Denmark,34,Male,Married,Engineering,Data Analyst,59227,3,4,1,7,7,63,0,Low,9,2,2,1,4,2,0,0,5
EMP1159,Norway,31,Male,Married,Operations,Software Engineer,80139,3,3,3,6,6,56,0,Medium,4,3,2,3,3,1,11,2,21
EMP1160,Denmark,36,Male,Married,Sales,Sales Executive,52930,3,4,2,1,6,34,0,Low,2,3,3,1,3,4,3,1,1
EMP1161,Norway,38,Female,Married,Finance,Sales Executive,45123,3,5,4,3,6,4,0,Low,19,3,3,1,4,1,2,2,4
EMP1162,Sweden,43,Female,Divorced,IT,Operations Manager,40943,4,3,3,4,6,38,1,Low,9,4,3,1,3,4,2,2,7
EMP1163,Sweden,37,Female,Married,Engineering,Software Engineer,73740,4,5,5,4,6,23,0,Low,21,3,3,1,3,3,2,0,2
EMP1164,Sweden,42,Male,Divorced,IT,HR Manager,43311,4,5,3,4,5,39,0,Low,24,3,4,3,3,2,3,1,2
EMP1165,Norway,38,Male,Divorced,Finance,Data Analyst,49432,4,5,0,3,6,49,0,Low,3,3,2,1,3,4,1,0,10
EMP1166,Denmark,20,Female,Single,Sales,HR Manager,70626,5,5,4,5,7,76,0,Low,11,3,3,5,3,2,4,4,2
EMP1167,Norway,28,Male,Divorced,Sales,Sales Executive,64562,4,4,5,3,7,57,0,Low,14,1,3,1,3,1,8,1,4
EMP1168,Norway,36,Male,Married,Sales,Data Analyst,50006,4,4,5,3,5,0,0,Low,5,2,3,3,3,3,9,7,11
EMP1169,Norway,25,Male,Single,IT,Financial Analyst,44515,3,1,1,6,7,42,0,Medium,1,1,2,2,4,3,3,0,1
EMP1170,Sweden,43,Male,Single,Finance,Sales Executive,76983,5,2,3,3,6,38,0,Low,6,3,3,1,4,1,4,1,20
EMP1171,Sweden,53,Male,Married,Sales,HR Manager,38254,1,4,1,3,6,9,0,Low,17,3,3,1,3,4,2,1,6
EMP1172,Norway,50,Male,Single,Operations,HR Manager,51845,3,4,1,5,8,1,0,Low,1,3,1,1,4,1,0,0,3
EMP1173,Sweden,35,Female,Single,Engineering,Operations Manager,32411,4,3,3,5,6,62,0,Low,3,4,3,1,3,3,7,7,2
EMP1174,Norway,52,Male,Divorced,Operations,HR Manager,72833,2,4,5,3,6,15,0,Medium,9,3,3,2,3,3,9,6,15
EMP1175,Sweden,39,Male,Divorced,Engineering,Software Engineer,47876,3,3,2,3,6,36,0,Medium,4,3,3,2,3,1,4,0,1
EMP1176,Norway,34,Female,Divorced,Sales,Sales Executive,44505,4,5,4,1,8,15,0,Low,8,3,3,1,3,3,2,2,1
EMP1177,Sweden,31,Male,Single,IT,Marketing Specialist,64924,4,3,0,0,6,79,0,Low,2,3,3,1,3,1,1,0,1
EMP1178,Norway,34,Male,Single,Sales,Marketing Specialist,33617,4,4,0,3,7,26,0,Low,2,2,2,1,4,3,0,1,1
EMP1179,Finland,34,Female,Divorced,Sales,Data Analyst,64530,5,4,2,2,6,62,0,Low,1,2,3,3,4,3,13,15,3
EMP1180,Norway,39,Male,Single,Sales,HR Manager,49591,2,2,2,1,6,63,1,Low,9,3,3,1,3,3,2,2,22
EMP1181,Norway,39,Male,Married,HR,Operations Manager,36920,1,5,4,4,7,31,0,Low,12,3,3,1,4,3,2,0,10
EMP1182,Norway,38,Male,Single,Sales,Operations Manager,40146,4,4,2,2,5,8,0,Low,27,4,3,1,3,4,2,1,1
EMP1183,Finland,42,Male,Single,Finance,HR Manager,44736,3,4,2,3,7,10,0,Low,20,2,3,1,4,4,3,0,2
EMP1184,Denmark,49,Female,Married,Sales,Software Engineer,48339,4,3,2,0,7,69,0,Low,1,3,2,1,3,4,2,0,5
EMP1185,Norway,47,Female,Divorced,IT,Operations Manager,37022,3,4,1,4,6,29,0,Low,13,4,4,2,3,3,2,1,0
EMP1186,Sweden,23,Male,Married,Engineering,Marketing Specialist,59417,4,1,5,3,6,14,0,Low,14,4,3,1,3,4,7,1,8
EMP1187,Denmark,20,Female,Married,IT,Data Analyst,36629,4,4,2,4,7,58,0,Low,4,4,3,5,3,2,8,9,10
EMP1188,Sweden,47,Female,Single,IT,Sales Executive,30000,4,4,2,2,6,47,1,Low,14,3,4,5,3,4,15,2,9
EMP1189,Sweden,24,Male,Married,HR,Financial Analyst,83794,4,5,4,2,6,75,1,Low,2,4,2,2,3,3,9,1,2
EMP1190,Norway,35,Female,Single,Sales,Software Engineer,57968,4,4,2,4,5,59,0,Medium,3,4,3,4,3,3,7,1,3
EMP1191,Norway,26,Male,Married,HR,Operations Manager,85142,3,3,4,2,7,67,0,Low,1,3,2,5,3,1,18,11,0
EMP1192,Denmark,20,Male,Single,Finance,Sales Executive,39345,2,3,1,2,7,56,0,Low,9,4,3,1,3,4,7,0,2
EMP1193,Finland,43,Male,Married,Sales,Financial Analyst,62196,2,4,1,4,7,63,0,Low,23,2,2,2,3,1,0,0,3
EMP1194,Sweden,45,Male,Divorced,Finance,HR Manager,68419,4,3,5,1,6,53,0,Medium,7,4,4,1,3,4,4,2,11
EMP1195,Norway,32,Male,Married,Operations,HR Manager,52159,3,1,4,3,7,79,0,Low,2,1,2,4,4,4,8,11,11
EMP1196,Norway,20,Female,Married,Operations,Data Analyst,33333,4,5,2,0,6,74,0,Low,21,2,4,1,3,1,7,1,16
EMP1197,Denmark,32,Male,Single,Sales,Financial Analyst,51032,3,1,3,3,6,53,0,Low,2,2,3,2,3,4,2,1,10
EMP1198,Denmark,41,Male,Divorced,Finance,HR Manager,64395,4,5,5,1,7,58,0,Low,21,3,3,2,3,2,3,0,0
EMP1199,Denmark,23,Male,Married,Engineering,HR Manager,63823,5,3,1,2,7,38,0,High,2,4,3,2,3,2,0,0,5
